Designator,Mid X,Mid Y,Rotation,Layer
C1,128.1536,-69.345,0.0,top
C10,127.3556,-66.6776,0.0,top
C100,70.6864,-80.9822,270.0,top
C101,160.8836,-78.514,0.0,top
C102,151.0026,-84.088,90.0,top
C103,153.9236,-84.06,90.0,top
C104,79.5274,-73.5096,90.0,top
C105,82.3214,-81.9196,180.0,top
C106,106.1212,-83.848,270.0,top
C107,100.3808,-74.2468,90.0,top
C108,100.1776,-83.6956,270.0,top
C109,111.8108,-74.1452,90.0,top
C11,124.8316,-79.448,270.0,top
C110,111.76,-83.7624,270.0,top
C111,106.0196,-74.196,90.0,top
C112,80.6704,-74.2996,90.0,top
C113,82.3214,-73.6646,0.0,top
C114,129.1336,-99.2244,90.0,top
C115,132.0292,-103.0504,270.0,top
C116,129.6838,-103.0504,270.0,top
C117,149.4348,-96.6496,0.0,top
C118,135.1788,-103.5076,180.0,top
C119,130.8608,-103.0504,270.0,top
C12,123.4816,-79.448,270.0,top
C120,132.4864,-99.596,270.0,top
C121,164.9476,-91.1124,0.0,top
C122,165.6526,-92.861999,0.0,top
C123,181.5566,-86.45,0.0,top
C124,181.5566,-88.42,0.0,top
C125,181.5566,-90.39,0.0,top
C126,181.5566,-92.36,0.0,top
C127,123.0376,-70.513,90.0,top
C128,121.5136,-70.513,90.0,top
C129,133.7056,-62.921,90.0,top
C13,122.2316,-79.448,270.0,top
C130,132.1196,-62.921,90.0,top
C14,133.3176,-85.798,270.0,top
C15,143.8656,-70.5384,90.0,top
C16,145.796,-76.2788,0.0,top
C17,142.3576,-80.21,0.0,top
C18,129.3196,-85.798,270.0,top
C19,125.7046,-70.005,90.0,top
C2,130.4196,-85.798,270.0,top
C20,182.9816,-79.911,0.0,top
C21,142.751,-67.6088,270.0,top
C22,148.276,-67.8688,90.0,top
C23,156.21,-42.1412,90.0,top
C24,157.9626,-41.709999,90.0,top
C25,163.0172,-35.7404,90.0,bottom
C26,164.1348,-35.7404,90.0,bottom
C27,158.2928,-35.6388,90.0,top
