Designator,Mid X,Mid Y,Rotation,Layer
C1,91.2876,-74.124,0.0,top
C10,90.543,-71.4566,0.0,top
C100,97.2708,-114.9488,90.0,top
C101,77.1144,-95.4532,180.0,top
C102,83.8962,-89.7382,270.0,top
C103,82.296,-89.5604,270.0,top
C104,89.6636,-124.1699,270.0,top
C105,87.0566,-115.7537,0.0,top
C106,62.853107,-112.1303,180.0,top
C107,68.9972,-123.4265,270.0,top
C108,75.2364,-109.5903,0.0,top
C109,62.853107,-117.7691,180.0,top
C11,89.1794,-85.0138,90.0,top
C110,62.853107,-106.3899,180.0,top
C111,63.14600021881345,-123.40789978118656,225.0,top
C112,88.5968,-123.3737,270.0,top
C113,87.0566,-124.0087,180.0,top
C114,83.6756,-101.9528,90.0,top
C115,86.4188,-104.3404,270.0,top
C116,83.6248,-106.0676,270.0,top
C117,98.5012,-97.8408,0.0,top
C118,91.9988,-101.8032,90.0,bottom
C119,84.9456,-106.0676,270.0,top
C12,88.011,-85.0138,90.0,top
C120,86.4188,-102.3064,270.0,top
C121,121.0236,-88.6554,0.0,top
C122,121.7286,-90.404999,0.0,top
C123,129.837,-99.16822,0.0,top
C124,129.837,-99.95822,0.0,top
C125,129.27584,-94.869,225.0,bottom
C126,128.7018,-95.4532,225.0,bottom
C127,77.9018,-66.7258,45.0,bottom
C128,77.343,-67.2846,45.0,bottom
C129,98.0948,-60.3504,90.0,bottom
C13,86.741,-85.0138,90.0,top
C130,97.282,-60.3504,90.0,bottom
C14,96.505,-90.577,270.0,top
C15,104.7496,-75.3364,0.0,top
C16,109.4232,-81.2292,0.0,top
C17,105.529,-87.2236,270.0,top
C18,92.507,-90.577,270.0,top
C19,88.6968,-73.7616,180.0,top
C2,93.607,-90.577,270.0,top
C20,138.2928,-88.39,0.0,top
C21,105.9384,-72.3878,270.0,top
C22,111.4634,-72.6478,90.0,top
C23,115.062,-47.5996,90.0,top
C24,116.5352,-47.0916,90.0,top
C25,118.425,-38.2079,180.0,top
C26,118.425,-37.4179,180.0,top
C27,123.063,-42.3418,225.0,bottom
C28,122.5042,-42.9006,225.0,bottom
C29,107.188,-51.689,0.0,top
C3,87.249,-82.1182,180.0,top
C30,109.982,-47.244,0.0,top
C31,108.2856,-39.116,180.0,top
C32,125.7046,-59.6646,90.0,bottom
C33,126.873,-59.817,90.0,bottom
C34,137.0076,-66.167,270.0,bottom
C35,135.6944,-66.167,270.0,bottom
C36,124.158,-63.76225,90.0,bottom
C37,126.308,-63.76225,90.0,bottom
C38,127.8636,-54.3052,180.0,bottom
C39,130.1268,-59.4614,180.0,bottom
C4,99.06,-71.3232,90.0,top
C40,130.1268,-58.3414,180.0,bottom
C41,123.3424,-72.02625,90.0,bottom
C42,133.5952,-67.86065,0.0,bottom
C43,138.9292,-71.92465,90.0,bottom
C44,128.8288,-67.8688,180.0,bottom
C45,122.0694,-63.05105,0.0,bottom
C46,135.5852,-60.3504,90.0,bottom
C47,119.4384,-63.60985,90.0,bottom
C48,132.4864,-58.3884,0.0,bottom
C49,132.4864,-59.4614,0.0,bottom
C5,94.9452,-71.4248,90.0,top
C50,134.8232,-53.3146,0.0,bottom
C51,134.1374,-39.8272,180.0,bottom
C52,140.0048,-41.4866,180.0,bottom
C53,140.0048,-42.6466,180.0,bottom
C54,125.208,-65.35625,270.0,bottom
C55,126.308,-65.92125,270.0,bottom
C56,144.4752,-62.992,0.0,bottom
C57,136.8806,-42.8815,0.0,top
C58,136.8806,-42.0915,0.0,top
C59,131.03474,-39.5076,90.0,top
C6,104.394,-87.9094,270.0,top
C60,130.24474,-39.5076,90.0,top
C61,117.475,-75.057,45.0,top
C62,118.0084,-75.5904,45.0,top
C63,122.3518,-76.9112,45.0,top
C64,122.8852,-77.4446,45.0,top
C65,141.4018,-56.0832,0.0,top
C66,140.0556,-49.7332,270.0,top
C67,140.2842,-54.5846,0.0,top
C68,131.5466,-49.3268,180.0,top
C69,130.937,-52.324,180.0,top
C7,106.9848,-78.8416,0.0,top
C70,60.071,-58.928,90.0,top
C71,49.6824,-59.2328,180.0,top
C72,58.1406,-64.0588,0.0,top
C73,47.9552,-61.9359,180.0,top
C74,50.673,-68.9356,90.0,top
C75,51.435,-68.9356,90.0,top
C76,58.1152,-58.547,0.0,top
C77,53.0472,-65.6359,270.0,top
C78,57.6326,-65.4558,180.0,top
C79,57.6326,-71.0438,0.0,top
C8,107.2642,-82.9564,0.0,top
C80,83.5914,-58.039001,90.0,top
C81,89.8376,-58.039001,0.0,top
C82,80.518,-62.738,270.0,top
C83,86.6648,-62.738,270.0,top
C84,85.344,-51.1556,270.0,top
C85,71.628,-86.3854,0.0,top
C86,71.755,-85.217,0.0,top
C87,109.2917,-110.424,90.0,top
C88,110.4347,-110.424,90.0,top
C89,107.2467,-114.615,180.0,top
C9,86.2076,-77.5462,135.0,top
C90,113.8637,-110.424,90.0,top
C91,80.8816,-106.5756,270.0,top
C92,82.304,-106.0676,270.0,top
C93,64.897,-82.169,0.0,top
C94,64.8208,-86.601,0.0,top
C95,84.1356,-120.7341,90.0,top
C96,96.0008,-119.7596,270.0,top
C97,93.7656,-114.898,90.0,top
C98,93.8672,-119.7596,270.0,top
C99,95.6452,-114.9488,90.0,top
D1,138.2928,-89.914,0.0,top
D10,82.7038,-47.244,180.0,top
D12,103.5075,-108.993,0.0,top
D13,120.9827,-113.438,90.0,top
D14,103.1883,-100.6331,180.0,top
D15,95.0976,-109.8232,90.0,top
D16,82.7532,-110.7948,180.0,top
D17,78.232,-84.9122,0.0,top
D2,109.093,-32.766,180.0,top
D3,102.5144,-47.9806,270.0,top
D4,105.8672,-32.9184,270.0,top
D5,59.8932,-62.8142,90.0,top
